id,original_timestamp,post_edit_timestamp,delta
11042,12 2 2022,13 2 2022,1
11051,12 2 2022,14 2 2022,2
11063,13 2 2022,13 2 2022,0
11080,13 2 2022,13 2 2022,0
11081,13 2 2022,13 2 2022,0
11084,12 2 2022,18 2 2022,6
11086,13 2 2022,13 2 2022,0
11094,13 2 2022,13 2 2022,0
11108,13 2 2022,2 3 2022,17
11115,13 2 2022,13 2 2022,0
11141,13 2 2022,14 2 2022,1
11142,13 2 2022,13 2 2022,0
11151,13 2 2022,14 2 2022,1
11186,13 2 2022,13 2 2022,0
11201,13 2 2022,13 2 2022,0
11202,13 2 2022,13 2 2022,0
11216,13 2 2022,14 2 2022,1
11252,13 2 2022,13 2 2022,0
11258,13 2 2022,13 2 2022,0
11261,13 2 2022,13 2 2022,0
11305,13 2 2022,13 2 2022,0
11314,13 2 2022,13 2 2022,0
11385,13 2 2022,13 2 2022,0
11493,13 2 2022,13 2 2022,0
11546,13 2 2022,13 2 2022,0
11602,13 2 2022,9 3 2022,24
11641,13 2 2022,13 2 2022,0
11663,13 2 2022,13 2 2022,0
11693,13 2 2022,13 2 2022,0
11694,13 2 2022,14 2 2022,1
11695,13 2 2022,13 2 2022,0
11713,13 2 2022,14 2 2022,1
11719,13 2 2022,13 2 2022,0
11732,13 2 2022,14 2 2022,1
11740,13 2 2022,14 2 2022,1
11741,13 2 2022,13 2 2022,0
11774,13 2 2022,13 2 2022,0
11775,13 2 2022,13 2 2022,0
11776,13 2 2022,17 2 2022,4
11787,13 2 2022,14 2 2022,1
11788,13 2 2022,11 3 2022,26
11789,13 2 2022,13 2 2022,0
11794,13 2 2022,13 2 2022,0
11805,13 2 2022,13 2 2022,0
11824,13 2 2022,13 2 2022,0
11881,13 2 2022,13 2 2022,0
11895,13 2 2022,14 2 2022,1
11899,13 2 2022,13 2 2022,0
11902,13 2 2022,14 2 2022,1
11904,13 2 2022,14 2 2022,1
11906,13 2 2022,21 2 2022,8
11922,13 2 2022,14 2 2022,1
11936,12 2 2022,14 2 2022,2
11958,13 2 2022,13 2 2022,0
11960,13 2 2022,13 2 2022,0
11972,13 2 2022,14 2 2022,1
11976,13 2 2022,15 2 2022,2
11993,13 2 2022,14 2 2022,1
11994,13 2 2022,13 2 2022,0
12012,13 2 2022,14 2 2022,1
12014,13 2 2022,18 2 2022,5
12067,13 2 2022,14 2 2022,1
12098,13 2 2022,14 2 2022,1
12107,13 2 2022,14 2 2022,1
12108,13 2 2022,14 2 2022,1
12127,13 2 2022,14 2 2022,1
12134,13 2 2022,14 2 2022,1
12142,13 2 2022,14 2 2022,1
12143,13 2 2022,17 2 2022,4
12146,13 2 2022,16 2 2022,3
12148,13 2 2022,14 2 2022,1
12149,13 2 2022,14 2 2022,1
12164,13 2 2022,14 2 2022,1
12168,13 2 2022,14 2 2022,1
12185,13 2 2022,14 2 2022,1
12201,13 2 2022,16 2 2022,3
12226,13 2 2022,13 2 2022,0
12228,13 2 2022,14 2 2022,1
12245,13 2 2022,14 2 2022,1
12246,13 2 2022,14 2 2022,1
12247,13 2 2022,2 3 2022,17
12273,13 2 2022,14 2 2022,1
12363,23 7 2021,14 7 2022,356
12383,14 2 2022,14 2 2022,0
12385,14 2 2022,14 2 2022,0
12386,14 2 2022,14 2 2022,0
12400,14 2 2022,14 2 2022,0
12403,14 2 2022,14 2 2022,0
12404,14 2 2022,14 2 2022,0
12405,14 2 2022,14 2 2022,0
12441,14 2 2022,14 2 2022,0
12445,14 2 2022,14 2 2022,0
12448,14 2 2022,14 2 2022,0
12475,14 2 2022,14 2 2022,0
12476,14 2 2022,14 2 2022,0
12508,14 2 2022,14 2 2022,0
12509,14 2 2022,14 2 2022,0
12511,14 2 2022,14 2 2022,0
12512,14 2 2022,15 2 2022,1
12513,14 2 2022,14 2 2022,0
12515,14 2 2022,14 2 2022,0
12516,14 2 2022,14 2 2022,0
12517,14 2 2022,15 2 2022,1
12518,14 2 2022,14 2 2022,0
12528,14 2 2022,14 2 2022,0
12565,14 2 2022,14 2 2022,0
12581,14 2 2022,14 2 2022,0
12583,14 2 2022,23 2 2022,9
12589,14 2 2022,14 2 2022,0
12590,14 2 2022,14 2 2022,0
12622,14 2 2022,14 2 2022,0
12623,14 2 2022,14 2 2022,0
12641,14 2 2022,14 2 2022,0
12643,14 2 2022,14 2 2022,0
12706,14 2 2022,14 2 2022,0
12709,14 2 2022,16 2 2022,2
12710,14 2 2022,15 2 2022,1
12712,14 2 2022,14 2 2022,0
12758,14 2 2022,14 2 2022,0
12759,14 2 2022,14 2 2022,0
12771,14 2 2022,14 2 2022,0
12773,14 2 2022,16 2 2022,2
12775,14 2 2022,14 2 2022,0
12776,14 2 2022,14 2 2022,0
12778,14 2 2022,14 2 2022,0
12833,14 2 2022,14 2 2022,0
12837,14 2 2022,14 2 2022,0
12846,14 2 2022,14 2 2022,0
12847,14 2 2022,14 2 2022,0
12848,14 2 2022,14 2 2022,0
12853,14 2 2022,14 2 2022,0
12860,14 2 2022,14 2 2022,0
12909,14 2 2022,8 3 2022,22
12925,14 2 2022,14 2 2022,0
12927,14 2 2022,14 3 2022,28
12983,14 2 2022,14 2 2022,0
12998,14 2 2022,14 2 2022,0
13000,14 2 2022,14 2 2022,0
13001,14 2 2022,14 2 2022,0
13061,14 2 2022,14 2 2022,0
13063,14 2 2022,8 3 2022,22
13082,14 2 2022,14 2 2022,0
13085,14 2 2022,14 2 2022,0
13170,14 2 2022,14 2 2022,0
13174,14 2 2022,14 2 2022,0
13250,14 2 2022,14 2 2022,0
13251,14 2 2022,14 2 2022,0
13252,14 2 2022,14 2 2022,0
13312,14 2 2022,6 12 2022,295
13330,14 2 2022,14 2 2022,0
13331,14 2 2022,14 2 2022,0
13332,14 2 2022,14 2 2022,0
13399,14 2 2022,14 2 2022,0
13414,14 2 2022,14 2 2022,0
